Розташування в каталозі,Категорія останнього рівня (для використання в параметрах),БТК_id,"Тариф ""Базовий"", %","Тариф ""Промо"", %",,
"Дача, сад, город",Садовий декор,122275,14,12,,- нові категорії
"Дача, сад, город / Рослини і догляд за ними",Бульби та цибулини,121987,14,12,,"- категорії, які будуть відкриті наступними"
"Дача, сад, город / Рослини і догляд за ними",Вазони,105853,14,12,,
"Дача, сад, город / Рослини і догляд за ними",Гроубокси,122276,14,12,,
"Дача, сад, город / Рослини і догляд за ними",Підставки та кріплення для вазонів,105854,14,12,,
"Дача, сад, город / Рослини і догляд за ними",Стабілізований мох,122277,14,12,,
"Дача, сад, город / Рослини і догляд за ними",Субстрати і ґрунти для рослин,121994,14,12,,
"Дача, сад, город / Рослини і догляд за ними",Флораріуми,122274,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Добрива",Біодобрива,121959,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Добрива",Мікродобрива,121961,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Добрива",Мінеральні добрива,121956,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Добрива",Органічні добрива,121957,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Добрива",Органомінеральні добрива,121960,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Добрива",Стимулятори росту рослин,121958,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Засоби захисту рослин",Біоінсектициди,121967,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Засоби захисту рослин",Біофунгіциди,121968,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Засоби захисту рослин",Гербіциди,121965,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Засоби захисту рослин",Десиканти,121972,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Засоби захисту рослин",Інсектициди для рослин,121964,14,12,,
"Дача, сад, город / Рослини і догляд за ними / Засоби захисту рослин",Молюскоциди,121971,14,12,,
